                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.69207,                0.38385,                0.88861,                0.84782,                0.76233,                0.82868,                0.53086,                0.91928,                0.46934,                 0.9158,             0.00027556,             0.00027556,             0.00027556
                      2,                0.75834,                0.42511,                0.90123,                0.88709,                 0.7484,                0.81832,                0.51351,                0.94512,                0.47655,                0.92444,             0.00054228,             0.00054228,             0.00054228
                      3,                0.80925,                0.45361,                 0.9094,                0.83683,                0.75552,                0.81842,                0.49706,                 1.0039,                0.50492,                0.93248,             0.00079799,             0.00079799,             0.00079799
                      4,                0.83833,                0.46837,                 0.9168,                0.87154,                 0.7478,                0.81944,                0.50136,                 1.0073,                0.51122,                0.93154,             0.00078352,             0.00078352,             0.00078352
                      5,                0.84211,                0.47488,                0.91827,                0.84232,                0.75211,                0.80886,                0.49373,                 1.0003,                0.53151,                0.93612,             0.00076703,             0.00076703,             0.00076703
                      6,                0.84775,                0.47476,                0.91858,                 0.8381,                0.74309,                0.79914,                0.49916,                0.98841,                0.51948,                0.93649,             0.00075053,             0.00075053,             0.00075053
                      7,                 0.8426,                0.47174,                0.92031,                0.87653,                0.75503,                0.82076,                0.49964,                0.99102,                0.48231,                0.94259,             0.00073404,             0.00073404,             0.00073404
                      8,                0.83549,                0.47447,                 0.9193,                 0.8751,                0.72996,                0.81455,                0.50447,                0.96278,                0.49961,                0.91992,             0.00071755,             0.00071755,             0.00071755
                      9,                0.82884,                0.47015,                0.91683,                0.80952,                 0.7499,                0.80114,                0.47747,                 1.0353,                0.51156,                0.94644,             0.00070105,             0.00070105,             0.00070105
                     10,                0.83436,                0.47058,                0.91748,                  0.813,                0.75813,                0.82022,                0.49832,                0.99745,                0.49989,                0.93631,             0.00068456,             0.00068456,             0.00068456
                     11,                0.81963,                0.46185,                0.91482,                0.87011,                0.76297,                0.81873,                0.50846,                0.97589,                0.48104,                0.93239,             0.00066807,             0.00066807,             0.00066807
                     12,                0.82332,                0.46139,                0.91653,                0.82854,                0.75702,                0.80952,                0.49897,                0.97374,                0.49645,                0.91942,             0.00065157,             0.00065157,             0.00065157
                     13,                0.81842,                0.45376,                0.91541,                0.83252,                0.76834,                0.82337,                0.50876,                 0.9684,                0.48992,                0.93026,             0.00063508,             0.00063508,             0.00063508
                     14,                0.81033,                0.45281,                0.91193,                0.84831,                 0.7491,                0.83327,                0.51559,                 1.0082,                0.49912,                0.95012,             0.00061859,             0.00061859,             0.00061859
                     15,                0.79804,                 0.4488,                0.91129,                0.84207,                0.75989,                0.82675,                0.51123,                0.96977,                0.48111,                0.93125,             0.00060209,             0.00060209,             0.00060209
                     16,                0.81327,                0.45214,                0.90955,                0.84044,                0.76312,                0.81503,                0.50262,                0.97592,                0.51223,                0.92449,              0.0005856,              0.0005856,              0.0005856
                     17,                0.78864,                0.44051,                0.90704,                0.87597,                0.74678,                0.82348,                0.51026,                0.95413,                0.48348,                0.92404,             0.00056911,             0.00056911,             0.00056911
                     18,                 0.7916,                0.44492,                0.90903,                0.84793,                 0.7588,                0.82695,                0.51633,                0.96774,                 0.4792,                0.93697,             0.00055261,             0.00055261,             0.00055261
                     19,                0.78106,                 0.4314,                0.90484,                0.84652,                0.75915,                0.81984,                0.51547,                 0.9635,                 0.4776,                0.93673,             0.00053612,             0.00053612,             0.00053612
                     20,                 0.7774,                0.43374,                 0.9082,                 0.8415,                0.76977,                 0.8263,                0.50805,                0.96671,                0.47158,                0.93952,             0.00051963,             0.00051963,             0.00051963
                     21,                0.76204,                 0.4272,                0.89844,                0.84286,                0.75881,                0.82484,                0.51939,                0.93409,                0.47803,                0.92682,             0.00050313,             0.00050313,             0.00050313
                     22,                0.76744,                0.42727,                0.90143,                0.82188,                0.75848,                0.81572,                0.49729,                0.95677,                0.47754,                0.92294,             0.00048664,             0.00048664,             0.00048664
                     23,                0.75887,                0.42462,                0.89764,                0.86541,                0.74707,                0.81987,                0.51575,                0.97224,                0.49056,                0.93344,             0.00047015,             0.00047015,             0.00047015
                     24,                0.74575,                0.41535,                0.89951,                0.87566,                0.76081,                0.82688,                 0.5177,                0.94198,                0.46595,                0.93205,             0.00045365,             0.00045365,             0.00045365
                     25,                0.74198,                0.41703,                0.89578,                0.85079,                0.77808,                0.82958,                0.51394,                0.96781,                0.46661,                0.93076,             0.00043716,             0.00043716,             0.00043716
                     26,                0.74784,                0.41576,                0.89829,                0.90775,                0.74979,                 0.8244,                0.52229,                0.95232,                0.48219,                0.92981,             0.00042066,             0.00042066,             0.00042066
                     27,                0.73102,                 0.4047,                0.89482,                0.89962,                0.76438,                0.83483,                0.53374,                0.92552,                0.44652,                0.92403,             0.00040417,             0.00040417,             0.00040417
                     28,                0.72168,                  0.403,                 0.8919,                0.87891,                0.75986,                0.82327,                0.51705,                0.94136,                0.46999,                 0.9199,             0.00038768,             0.00038768,             0.00038768
                     29,                0.72135,                0.40082,                0.89401,                0.86105,                0.76479,                0.82781,                0.51837,                0.94405,                 0.4482,                 0.9331,             0.00037118,             0.00037118,             0.00037118
                     30,                0.71725,                0.39572,                0.89139,                0.88856,                0.74399,                0.82481,                0.52651,                0.91568,                0.46193,                0.92362,             0.00035469,             0.00035469,             0.00035469
                     31,                0.70943,                 0.3961,                0.89162,                0.86129,                0.76945,                0.83241,                0.53082,                0.93209,                0.45203,                0.92465,              0.0003382,              0.0003382,              0.0003382
                     32,                0.71163,                0.39382,                0.89168,                0.87985,                0.75643,                0.82815,                 0.5309,                 0.9417,                0.45798,                0.93353,              0.0003217,              0.0003217,              0.0003217
                     33,                0.69921,                   0.39,                0.88894,                0.88644,                0.76134,                0.83261,                0.54178,                0.91099,                0.44485,                0.92425,             0.00030521,             0.00030521,             0.00030521
                     34,                0.69579,                0.38937,                0.88741,                0.84849,                0.78008,                0.83538,                0.53392,                0.92509,                0.44833,                0.92772,             0.00028872,             0.00028872,             0.00028872
                     35,                0.68457,                0.38025,                0.88425,                0.89819,                0.75982,                0.83365,                0.54394,                 0.8972,                0.44299,                0.92321,             0.00027222,             0.00027222,             0.00027222
                     36,                0.68157,                0.38034,                0.88383,                0.89596,                0.75338,                0.84159,                0.54848,                0.90704,                0.43644,                0.92624,             0.00025573,             0.00025573,             0.00025573
                     37,                0.66757,                0.37576,                0.88355,                0.84746,                0.78012,                0.83248,                0.53698,                0.90526,                0.44005,                0.92193,             0.00023924,             0.00023924,             0.00023924
                     38,                0.68002,                0.38055,                0.88677,                0.91438,                0.75579,                 0.8396,                0.54364,                0.90119,                0.44065,                0.92226,             0.00022274,             0.00022274,             0.00022274
                     39,                0.66885,                0.37347,                0.88172,                0.87876,                0.78013,                 0.8427,                 0.5452,                0.90592,                0.44006,                0.91995,             0.00020625,             0.00020625,             0.00020625
                     40,                0.66126,                0.37131,                0.88256,                0.88093,                0.77338,                0.84328,                0.54464,                0.89681,                0.43783,                0.92143,             0.00018976,             0.00018976,             0.00018976
                     41,                0.63335,                0.33233,                0.84716,                 0.9037,                0.75913,                0.83686,                0.54004,                0.90179,                0.44606,                0.92473,             0.00017326,             0.00017326,             0.00017326
                     42,                 0.6105,                0.32282,                0.84289,                0.85702,                0.77523,                0.84084,                0.53654,                0.89596,                0.44643,                0.91551,             0.00015677,             0.00015677,             0.00015677
                     43,                 0.6037,                0.32022,                0.84526,                0.88403,                0.77225,                0.85312,                0.55379,                0.88864,                0.44625,                0.91337,             0.00014028,             0.00014028,             0.00014028
                     44,                 0.5994,                0.31875,                0.84243,                0.90461,                0.75939,                0.84515,                0.55779,                0.87557,                0.43781,                0.91341,             0.00012378,             0.00012378,             0.00012378
                     45,                0.59129,                0.31196,                0.84069,                0.89226,                0.77607,                0.84835,                0.55517,                0.87096,                0.42896,                0.91406,             0.00010729,             0.00010729,             0.00010729
                     46,                0.58448,                0.30887,                 0.8378,                0.89755,                0.77161,                0.84882,                 0.5584,                0.86399,                0.42671,                0.91445,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     47,                0.57625,                0.30569,                0.83569,                0.90405,                0.76726,                0.85126,                0.56336,                0.85997,                0.42172,                0.91521,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     48,                0.56664,                0.30289,                0.83742,                0.87937,                 0.7813,                0.85336,                0.56282,                0.86609,                0.42513,                0.91818,              5.781e-05,              5.781e-05,              5.781e-05
                     49,                0.56607,                 0.3014,                0.83479,                0.86605,                 0.7859,                0.84916,                0.56087,                0.85702,                0.42612,                0.91527,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     50,                0.56509,                0.29836,                0.83735,                0.87239,                0.78865,                0.85229,                0.56557,                0.85229,                0.41973,                0.91526,             2.4823e-05,             2.4823e-05,             2.4823e-05
